date,fine_dust(㎍/㎥),grade,day_type,season,year
2022-08-12,27.0,good,weekday,Summer,2022
2022-08-13,28.0,good,weekend,Summer,2022
2022-08-14,23.0,good,weekend,Summer,2022
2022-08-15,24.0,good,weekday,Summer,2022
2022-08-16,24.0,good,weekday,Summer,2022
2022-08-17,24.0,good,weekday,Summer,2022
2022-08-18,23.0,good,weekday,Summer,2022
2022-08-19,26.0,good,weekday,Summer,2022
2022-08-20,25.0,good,weekend,Summer,2022
2022-08-21,27.0,good,weekend,Summer,2022
2022-08-22,24.0,good,weekday,Summer,2022
2022-08-23,18.0,good,weekday,Summer,2022
2022-08-24,18.0,good,weekday,Summer,2022
2022-08-25,19.0,good,weekday,Summer,2022
2022-08-26,33.0,normal,weekday,Summer,2022
2022-08-27,20.0,good,weekend,Summer,2022
2022-08-28,18.0,good,weekend,Summer,2022
2022-08-29,13.0,good,weekday,Summer,2022
2022-08-30,8.0,good,weekday,Summer,2022
2022-08-31,11.0,good,weekday,Summer,2022
2022-09-01,19.0,good,weekday,Fall,2022
2022-09-02,18.0,good,weekday,Fall,2022
2022-09-03,13.0,good,weekend,Fall,2022
2022-09-04,12.0,good,weekend,Fall,2022
2022-09-07,31.0,normal,weekday,Fall,2022
2022-09-08,30.0,good,weekday,Fall,2022
2022-09-09,22.0,good,weekend,Fall,2022
2022-09-10,14.0,good,weekend,Fall,2022
2022-09-11,20.0,good,weekend,Fall,2022
2022-09-12,22.0,good,weekend,Fall,2022
2022-09-13,19.0,good,weekday,Fall,2022
2022-09-14,19.0,good,weekday,Fall,2022
2022-09-15,21.0,good,weekday,Fall,2022
2022-09-16,24.0,good,weekday,Fall,2022
2022-09-17,21.0,good,weekend,Fall,2022
2022-09-18,22.0,good,weekend,Fall,2022
2022-09-19,16.0,good,weekday,Fall,2022
2022-09-20,26.0,good,weekday,Fall,2022
2022-09-21,30.0,good,weekday,Fall,2022
2022-09-22,31.0,normal,weekday,Fall,2022
2022-09-23,26.0,good,weekday,Fall,2022
2022-09-24,20.0,good,weekend,Fall,2022
2022-09-25,24.0,good,weekend,Fall,2022
2022-09-26,27.0,good,weekday,Fall,2022
2022-09-27,27.0,good,weekday,Fall,2022
2022-09-28,36.0,normal,weekday,Fall,2022
2022-09-29,52.0,normal,weekday,Fall,2022
2022-09-30,50.0,normal,weekday,Fall,2022
2022-10-01,48.0,normal,weekend,Fall,2022
2022-10-02,31.0,normal,weekend,Fall,2022
2022-10-03,14.0,good,weekend,Fall,2022
2022-10-04,17.0,good,weekday,Fall,2022
2022-10-05,19.0,good,weekday,Fall,2022
2022-10-07,15.0,good,weekday,Fall,2022
2022-10-09,10.0,good,weekend,Fall,2022
2022-10-10,28.84090909090909,,weekend,Fall,2022
2022-10-11,24.0,good,weekday,Fall,2022
2022-10-12,25.0,good,weekday,Fall,2022
2022-10-13,24.0,good,weekday,Fall,2022
2022-10-14,28.0,good,weekday,Fall,2022
2022-10-15,34.0,normal,weekend,Fall,2022
2022-10-16,38.0,normal,weekend,Fall,2022
2022-10-17,30.0,good,weekday,Fall,2022
2022-10-18,25.0,good,weekday,Fall,2022
2022-10-19,28.0,good,weekday,Fall,2022
2022-10-20,39.0,normal,weekday,Fall,2022
2022-10-21,50.0,normal,weekday,Fall,2022
2022-10-22,35.0,normal,weekend,Fall,2022
2022-10-23,37.0,normal,weekend,Fall,2022
2022-10-24,28.0,good,weekday,Fall,2022
2022-10-27,32.0,normal,weekday,Fall,2022
2022-10-28,43.0,normal,weekday,Fall,2022
2022-10-29,26.0,good,weekend,Fall,2022
2022-10-30,26.0,good,weekend,Fall,2022
2022-10-31,27.0,good,weekday,Fall,2022
2022-11-01,42.0,normal,weekday,Fall,2022
2022-11-02,33.0,normal,weekday,Fall,2022
2022-11-03,28.0,good,weekday,Fall,2022
2022-11-04,27.0,good,weekday,Fall,2022
2022-11-05,34.0,normal,weekend,Fall,2022
2022-11-06,29.0,good,weekend,Fall,2022
2022-11-07,36.0,normal,weekday,Fall,2022
2022-11-08,41.0,normal,weekday,Fall,2022
2022-11-09,65.0,normal,weekday,Fall,2022
2022-11-10,69.0,normal,weekday,Fall,2022
2022-11-11,53.0,normal,weekday,Fall,2022
2022-11-12,45.0,normal,weekend,Fall,2022
2022-11-13,17.0,good,weekend,Fall,2022
2022-11-14,23.0,good,weekday,Fall,2022
2022-11-15,31.0,normal,weekday,Fall,2022
2022-11-16,27.0,good,weekday,Fall,2022
2022-11-17,38.0,normal,weekday,Fall,2022
2022-11-18,38.0,normal,weekday,Fall,2022
2022-11-19,31.0,normal,weekend,Fall,2022
2022-11-20,29.0,good,weekend,Fall,2022
2022-11-21,36.0,normal,weekday,Fall,2022
2022-11-22,53.0,normal,weekday,Fall,2022
2022-11-23,37.0,normal,weekday,Fall,2022
2022-11-24,49.0,normal,weekday,Fall,2022
2022-11-25,52.0,normal,weekday,Fall,2022
2022-11-26,64.0,normal,weekend,Fall,2022
2022-11-27,22.0,good,weekend,Fall,2022
2022-11-28,30.0,good,weekday,Fall,2022
2022-11-29,17.0,good,weekday,Fall,2022
2022-11-30,24.0,good,weekday,Fall,2022
2022-12-01,25.0,good,weekday,Winter,2022
2022-12-02,23.0,good,weekday,Winter,2022
2022-12-03,36.0,normal,weekend,Winter,2022
2022-12-04,16.0,good,weekend,Winter,2022
2022-12-05,22.0,good,weekday,Winter,2022
2022-12-06,30.0,good,weekday,Winter,2022
2022-12-07,37.0,normal,weekday,Winter,2022
2022-12-08,31.0,normal,weekday,Winter,2022
2022-12-09,39.0,normal,weekday,Winter,2022
2022-12-10,37.0,normal,weekend,Winter,2022
2022-12-11,43.0,normal,weekend,Winter,2022
2022-12-12,32.0,normal,weekday,Winter,2022
2022-12-13,247.0,very_bad,weekday,Winter,2022
2022-12-14,59.0,normal,weekday,Winter,2022
2022-12-15,34.0,normal,weekday,Winter,2022
2022-12-16,31.0,normal,weekday,Winter,2022
2022-12-17,25.0,good,weekend,Winter,2022
2022-12-18,23.0,good,weekend,Winter,2022
2022-12-19,23.0,good,weekday,Winter,2022
2022-12-20,33.0,normal,weekday,Winter,2022
2022-12-21,39.0,normal,weekday,Winter,2022
2022-12-22,30.0,good,weekday,Winter,2022
2022-12-23,22.0,good,weekday,Winter,2022
2022-12-24,30.0,good,weekend,Winter,2022
2022-12-25,41.0,normal,weekend,Winter,2022
2022-12-26,46.0,normal,weekday,Winter,2022
2022-12-27,46.0,normal,weekday,Winter,2022
2022-12-28,35.0,normal,weekday,Winter,2022
2022-12-29,30.0,good,weekday,Winter,2022
2022-12-30,34.0,normal,weekday,Winter,2022
2022-12-31,48.0,normal,weekend,Winter,2022
2023-01-01,55.0,normal,weekend,Winter,2023
2023-01-02,26.0,good,weekday,Winter,2023
2023-01-03,30.0,good,weekday,Winter,2023
2023-01-04,35.0,normal,weekday,Winter,2023
2023-01-05,48.0,normal,weekday,Winter,2023
2023-01-06,72.0,normal,weekday,Winter,2023
2023-01-07,126.0,bad,weekend,Winter,2023
2023-01-08,161.0,very_bad,weekend,Winter,2023
2023-01-09,106.0,bad,weekday,Winter,2023
2023-01-10,68.0,normal,weekday,Winter,2023
2023-01-11,75.0,normal,weekday,Winter,2023
2023-01-12,50.0,normal,weekday,Winter,2023
2023-01-13,16.0,good,weekday,Winter,2023
2023-01-16,23.0,good,weekday,Winter,2023
2023-01-17,34.0,normal,weekday,Winter,2023
2023-01-18,58.0,normal,weekday,Winter,2023
2023-01-19,73.0,normal,weekday,Winter,2023
2023-01-20,75.0,normal,weekday,Winter,2023
2023-01-21,28.0,good,weekend,Winter,2023
2023-01-22,30.0,good,weekend,Winter,2023
2023-01-23,60.0,normal,weekend,Winter,2023
2023-01-24,34.0,normal,weekend,Winter,2023
2023-01-25,24.0,good,weekday,Winter,2023
2023-01-26,30.0,good,weekday,Winter,2023
2023-01-27,48.0,normal,weekday,Winter,2023
2023-01-28,43.0,normal,weekend,Winter,2023
2023-01-29,55.0,normal,weekend,Winter,2023
2023-01-30,51.0,normal,weekday,Winter,2023
2023-01-31,42.0,normal,weekday,Winter,2023
2023-02-01,63.0,normal,weekday,Winter,2023
2023-02-02,50.0,normal,weekday,Winter,2023
2023-02-03,43.0,normal,weekday,Winter,2023
2023-02-04,39.0,normal,weekend,Winter,2023
2023-02-05,63.0,normal,weekend,Winter,2023
2023-02-06,70.0,normal,weekday,Winter,2023
2023-02-07,74.0,normal,weekday,Winter,2023
2023-02-08,68.0,normal,weekday,Winter,2023
2023-02-09,35.0,normal,weekday,Winter,2023
2023-02-10,21.0,good,weekday,Winter,2023
2023-02-11,41.0,normal,weekend,Winter,2023
2023-02-12,67.0,normal,weekend,Winter,2023
2023-02-13,31.0,normal,weekday,Winter,2023
2023-02-14,42.0,normal,weekday,Winter,2023
2023-02-15,18.0,good,weekday,Winter,2023
2023-02-16,26.0,good,weekday,Winter,2023
2023-02-17,40.0,normal,weekday,Winter,2023
2023-02-18,76.0,normal,weekend,Winter,2023
2023-02-19,39.0,normal,weekend,Winter,2023
2023-02-20,46.0,normal,weekday,Winter,2023
2023-02-21,34.0,normal,weekday,Winter,2023
2023-02-22,40.0,normal,weekday,Winter,2023
2023-02-23,39.0,normal,weekday,Winter,2023
2023-02-24,44.0,normal,weekday,Winter,2023
2023-02-25,42.0,normal,weekend,Winter,2023
2023-02-26,38.0,normal,weekend,Winter,2023
2023-02-27,47.0,normal,weekday,Winter,2023
2023-02-28,33.0,normal,weekday,Winter,2023
2023-03-01,33.0,normal,weekend,Spring,2023
2023-03-02,61.0,normal,weekday,Spring,2023
2023-03-03,44.0,normal,weekday,Spring,2023
2023-03-04,65.0,normal,weekend,Spring,2023
2023-03-05,61.0,normal,weekend,Spring,2023
2023-03-06,49.0,normal,weekday,Spring,2023
2023-03-07,59.0,normal,weekday,Spring,2023
2023-03-08,61.0,normal,weekday,Spring,2023
2023-03-09,59.0,normal,weekday,Spring,2023
2023-03-10,96.0,bad,weekday,Spring,2023
2023-03-11,104.0,bad,weekend,Spring,2023
2023-03-12,54.0,normal,weekend,Spring,2023
2023-03-13,40.0,normal,weekday,Spring,2023
2023-03-14,47.0,normal,weekday,Spring,2023
2023-03-15,55.0,normal,weekday,Spring,2023
2023-03-16,71.0,normal,weekday,Spring,2023
2023-03-17,46.0,normal,weekday,Spring,2023
2023-03-18,66.0,normal,weekend,Spring,2023
2023-03-19,98.0,bad,weekend,Spring,2023
2023-03-20,78.0,normal,weekday,Spring,2023
2023-03-21,55.0,normal,weekday,Spring,2023
2023-03-22,63.0,normal,weekday,Spring,2023
2023-03-23,129.0,bad,weekday,Spring,2023
2023-03-24,161.0,very_bad,weekday,Spring,2023
2023-03-25,117.0,bad,weekend,Spring,2023
2023-03-26,68.0,normal,weekend,Spring,2023
2023-03-27,51.0,normal,weekday,Spring,2023
2023-03-28,66.0,normal,weekday,Spring,2023
2023-03-29,71.0,normal,weekday,Spring,2023
2023-03-30,91.0,bad,weekday,Spring,2023
2023-03-31,103.0,bad,weekday,Spring,2023
2023-04-01,88.0,bad,weekend,Spring,2023
2023-04-02,52.0,normal,weekend,Spring,2023
2023-04-03,52.0,normal,weekday,Spring,2023
2023-04-04,32.0,normal,weekday,Spring,2023
2023-04-06,63.0,normal,weekday,Spring,2023
2023-04-07,93.0,bad,weekday,Spring,2023
2023-04-08,46.0,normal,weekend,Spring,2023
2023-04-09,67.0,normal,weekend,Spring,2023
2023-04-10,48.0,normal,weekday,Spring,2023
2023-04-11,68.0,normal,weekday,Spring,2023
2023-04-12,333.0,very_bad,weekday,Spring,2023
2023-04-13,226.0,very_bad,weekday,Spring,2023
2023-04-14,109.0,bad,weekday,Spring,2023
2023-04-15,61.0,normal,weekend,Spring,2023
2023-04-16,118.0,bad,weekend,Spring,2023
2023-04-17,117.0,bad,weekday,Spring,2023
2023-04-18,55.0,normal,weekday,Spring,2023
2023-04-19,44.0,normal,weekday,Spring,2023
2023-04-20,15.0,good,weekday,Spring,2023
2023-04-21,64.0,normal,weekday,Spring,2023
2023-04-22,62.0,normal,weekend,Spring,2023
2023-04-23,59.0,normal,weekend,Spring,2023
2023-04-24,60.0,normal,weekday,Spring,2023
2023-04-25,31.0,normal,weekday,Spring,2023
2023-04-26,28.0,good,weekday,Spring,2023
2023-04-27,43.0,normal,weekday,Spring,2023
2023-04-28,38.0,normal,weekday,Spring,2023
2023-04-29,25.0,good,weekend,Spring,2023
2023-04-30,47.0,normal,weekend,Spring,2023
2023-05-01,54.0,normal,weekday,Spring,2023
2023-05-02,39.0,normal,weekday,Spring,2023
2023-05-03,47.0,normal,weekday,Spring,2023
2023-05-04,48.0,normal,weekday,Spring,2023
2023-05-05,57.39710144927536,,weekend,Spring,2023
2023-05-07,36.0,normal,weekend,Spring,2023
2023-05-08,42.0,normal,weekday,Spring,2023
2023-05-09,57.0,normal,weekday,Spring,2023
2023-05-10,59.0,normal,weekday,Spring,2023
2023-05-11,51.0,normal,weekday,Spring,2023
2023-05-12,52.0,normal,weekday,Spring,2023
2023-05-13,38.0,normal,weekend,Spring,2023
2023-05-14,25.0,good,weekend,Spring,2023
2023-05-15,38.0,normal,weekday,Spring,2023
2023-05-16,62.0,normal,weekday,Spring,2023
2023-05-17,37.0,normal,weekday,Spring,2023
2023-05-18,33.0,normal,weekday,Spring,2023
2023-05-19,24.0,good,weekday,Spring,2023
2023-05-20,28.0,good,weekend,Spring,2023
2023-05-21,89.0,bad,weekend,Spring,2023
2023-05-22,148.0,bad,weekday,Spring,2023
2023-05-23,67.0,normal,weekday,Spring,2023
2023-05-24,40.0,normal,weekday,Spring,2023
2023-05-25,37.0,normal,weekday,Spring,2023
2023-05-26,35.0,normal,weekday,Spring,2023
2023-05-27,26.0,good,weekend,Spring,2023
2023-05-28,11.0,good,weekend,Spring,2023
2023-05-29,19.0,good,weekday,Spring,2023
2023-05-30,34.0,normal,weekday,Spring,2023
2023-05-31,31.0,normal,weekday,Spring,2023
2023-06-01,38.0,normal,weekday,Summer,2023
2023-06-02,29.0,good,weekday,Summer,2023
2023-06-03,38.0,normal,weekend,Summer,2023
2023-06-04,39.0,normal,weekend,Summer,2023
2023-06-05,32.0,normal,weekday,Summer,2023
2023-06-06,22.0,good,weekend,Summer,2023
2023-06-07,37.0,normal,weekday,Summer,2023
2023-06-08,22.0,good,weekday,Summer,2023
2023-06-10,34.0,normal,weekend,Summer,2023
2023-06-11,24.0,good,weekend,Summer,2023
2023-06-12,29.0,good,weekday,Summer,2023
2023-06-13,27.0,good,weekday,Summer,2023
2023-06-14,26.0,good,weekday,Summer,2023
2023-06-15,30.0,good,weekday,Summer,2023
2023-06-16,25.0,good,weekday,Summer,2023
2023-06-17,21.0,good,weekend,Summer,2023
2023-06-18,26.0,good,weekend,Summer,2023
2023-06-19,50.0,normal,weekday,Summer,2023
2023-06-20,36.0,normal,weekday,Summer,2023
2023-06-21,11.0,good,weekday,Summer,2023
2023-06-22,23.0,good,weekday,Summer,2023
2023-06-23,33.0,normal,weekday,Summer,2023
2023-06-24,39.0,normal,weekend,Summer,2023
2023-06-25,32.0,normal,weekend,Summer,2023
2023-06-26,16.0,good,weekday,Summer,2023
2023-06-27,18.0,good,weekday,Summer,2023
2023-06-28,33.0,normal,weekday,Summer,2023
2023-06-29,33.0,normal,weekday,Summer,2023
2023-06-30,33.0,normal,weekday,Summer,2023
2023-07-01,27.0,good,weekend,Summer,2023
2023-07-02,21.0,good,weekend,Summer,2023
2023-07-03,33.0,normal,weekday,Summer,2023
2023-07-04,33.0,normal,weekday,Summer,2023
2023-07-05,26.0,good,weekday,Summer,2023
2023-07-06,49.0,normal,weekday,Summer,2023
2023-07-07,47.0,normal,weekday,Summer,2023
2023-07-08,13.0,good,weekend,Summer,2023
2023-07-10,32.0,normal,weekday,Summer,2023
2023-07-11,20.0,good,weekday,Summer,2023
2023-07-12,25.0,good,weekday,Summer,2023
2023-07-13,24.0,good,weekday,Summer,2023
2023-07-14,17.0,good,weekday,Summer,2023
2023-07-15,22.0,good,weekend,Summer,2023
2023-07-16,31.0,normal,weekend,Summer,2023
2023-07-17,27.0,good,weekday,Summer,2023
2023-07-18,21.0,good,weekday,Summer,2023
2023-07-19,32.0,normal,weekday,Summer,2023
2023-07-20,56.0,normal,weekday,Summer,2023
2023-07-21,65.0,normal,weekday,Summer,2023
2023-07-22,33.0,normal,weekend,Summer,2023
2023-07-23,10.0,good,weekend,Summer,2023
2023-07-24,21.0,good,weekday,Summer,2023
2023-07-25,18.0,good,weekday,Summer,2023
2023-07-26,14.0,good,weekday,Summer,2023
2023-07-27,24.0,good,weekday,Summer,2023
2023-07-28,33.0,normal,weekday,Summer,2023
2023-07-29,33.0,normal,weekend,Summer,2023
2023-07-30,19.0,good,weekend,Summer,2023
2023-07-31,32.0,normal,weekday,Summer,2023
2023-08-01,31.0,normal,weekday,Summer,2023
2023-08-02,33.0,normal,weekday,Summer,2023
2023-08-03,23.0,good,weekday,Summer,2023
2023-08-04,22.0,good,weekday,Summer,2023
2023-08-05,20.0,good,weekend,Summer,2023
2023-08-06,23.0,good,weekend,Summer,2023
2023-08-07,11.0,good,weekday,Summer,2023
2023-08-11,19.0,good,weekday,Summer,2023
2023-08-12,18.0,good,weekend,Summer,2023
2023-08-13,29.0,good,weekend,Summer,2023
2023-08-14,40.0,normal,weekday,Summer,2023
2023-08-15,28.0,good,weekday,Summer,2023
2023-08-16,21.0,good,weekday,Summer,2023
2023-08-17,28.0,good,weekday,Summer,2023
2023-08-18,38.0,normal,weekday,Summer,2023
2023-08-19,26.0,good,weekend,Summer,2023
2023-08-20,26.0,good,weekend,Summer,2023
2023-08-21,25.0,good,weekday,Summer,2023
2023-08-22,22.0,good,weekday,Summer,2023
2023-08-23,10.0,good,weekday,Summer,2023
2023-08-24,10.0,good,weekday,Summer,2023
2023-08-25,20.0,good,weekday,Summer,2023
2023-08-26,38.0,normal,weekend,Summer,2023
2023-08-27,29.0,good,weekend,Summer,2023
2023-08-28,14.0,good,weekday,Summer,2023
2023-08-29,16.0,good,weekday,Summer,2023
2023-08-30,19.0,good,weekday,Summer,2023
2023-08-31,21.0,good,weekday,Summer,2023
2023-09-01,26.0,good,weekday,Fall,2023
2023-09-02,30.0,good,weekend,Fall,2023
2023-09-03,21.0,good,weekend,Fall,2023
2023-09-04,20.0,good,weekday,Fall,2023
2023-09-05,19.0,good,weekday,Fall,2023
2023-09-06,19.0,good,weekday,Fall,2023
2023-09-07,18.0,good,weekday,Fall,2023
2023-09-09,32.0,normal,weekend,Fall,2023
2023-09-10,38.0,normal,weekend,Fall,2023
2023-09-11,29.0,good,weekday,Fall,2023
2023-09-12,31.0,normal,weekday,Fall,2023
2023-09-13,23.0,good,weekday,Fall,2023
2023-09-14,10.0,good,weekday,Fall,2023
2023-09-15,10.0,good,weekday,Fall,2023
2023-09-16,11.0,good,weekend,Fall,2023
2023-09-17,17.0,good,weekend,Fall,2023
2023-09-18,19.0,good,weekday,Fall,2023
2023-09-19,28.0,good,weekday,Fall,2023
2023-09-20,22.0,good,weekday,Fall,2023
2023-09-22,25.0,good,weekday,Fall,2023
2023-09-23,19.0,good,weekend,Fall,2023
2023-09-24,13.0,good,weekend,Fall,2023
2023-09-25,14.0,good,weekday,Fall,2023
2023-09-27,12.0,good,weekday,Fall,2023
2023-09-28,49.0,normal,weekend,Fall,2023
2023-09-29,32.0,normal,weekend,Fall,2023
2023-09-30,29.0,good,weekend,Fall,2023
2023-10-01,28.0,good,weekend,Fall,2023
2023-10-02,21.0,good,weekend,Fall,2023
2023-10-03,21.0,good,weekend,Fall,2023
2023-10-04,22.0,good,weekday,Fall,2023
2023-10-05,36.0,normal,weekday,Fall,2023
2023-10-06,27.0,good,weekday,Fall,2023
2023-10-07,24.0,good,weekend,Fall,2023
2023-10-08,12.0,good,weekend,Fall,2023
2023-10-09,16.0,good,weekend,Fall,2023
2023-10-10,29.0,good,weekday,Fall,2023
2023-10-11,27.0,good,weekday,Fall,2023
2023-10-12,30.0,good,weekday,Fall,2023
2023-10-13,38.0,normal,weekday,Fall,2023
2023-10-14,25.0,good,weekend,Fall,2023
2023-10-15,26.0,good,weekend,Fall,2023
2023-10-16,46.0,normal,weekday,Fall,2023
2023-10-17,37.0,normal,weekday,Fall,2023
2023-10-18,33.0,normal,weekday,Fall,2023
2023-10-19,30.0,good,weekday,Fall,2023
2023-10-20,19.0,good,weekday,Fall,2023
2023-10-21,21.0,good,weekend,Fall,2023
2023-10-22,27.0,good,weekend,Fall,2023
2023-10-23,29.0,good,weekday,Fall,2023
2023-10-24,32.0,normal,weekday,Fall,2023
2023-10-25,34.0,normal,weekday,Fall,2023
2023-10-26,46.0,normal,weekday,Fall,2023
2023-10-27,28.0,good,weekday,Fall,2023
2023-10-28,36.0,normal,weekend,Fall,2023
2023-10-29,31.0,normal,weekend,Fall,2023
2023-10-30,40.0,normal,weekday,Fall,2023
2023-10-31,43.0,normal,weekday,Fall,2023
2023-11-01,45.0,normal,weekday,Fall,2023
2023-11-02,37.0,normal,weekday,Fall,2023
2023-11-03,31.0,normal,weekday,Fall,2023
2023-11-04,50.0,normal,weekend,Fall,2023
2023-11-05,17.0,good,weekend,Fall,2023
2023-11-06,18.0,good,weekday,Fall,2023
2023-11-07,20.0,good,weekday,Fall,2023
2023-11-08,27.0,good,weekday,Fall,2023
2023-11-09,29.0,good,weekday,Fall,2023
2023-11-11,19.0,good,weekend,Fall,2023
2023-11-12,19.0,good,weekend,Fall,2023
2023-11-13,25.0,good,weekday,Fall,2023
2023-11-14,32.0,normal,weekday,Fall,2023
2023-11-15,38.0,normal,weekday,Fall,2023
2023-11-16,36.0,normal,weekday,Fall,2023
2023-11-17,18.0,good,weekday,Fall,2023
2023-11-18,24.0,good,weekend,Fall,2023
2023-11-19,38.0,normal,weekend,Fall,2023
2023-11-20,33.0,normal,weekday,Fall,2023
2023-11-21,32.0,normal,weekday,Fall,2023
2023-11-22,33.0,normal,weekday,Fall,2023
2023-11-23,92.0,bad,weekday,Fall,2023
2023-11-24,15.0,good,weekday,Fall,2023
2023-11-25,19.0,good,weekend,Fall,2023
2023-11-26,25.0,good,weekend,Fall,2023
2023-11-27,37.0,normal,weekday,Fall,2023
2023-11-28,29.0,good,weekday,Fall,2023
2023-11-29,18.0,good,weekday,Fall,2023
2023-11-30,19.0,good,weekday,Fall,2023
2023-12-01,25.0,good,weekday,Winter,2023
2023-12-02,33.0,normal,weekend,Winter,2023
2023-12-03,38.0,normal,weekend,Winter,2023
2023-12-04,36.0,normal,weekday,Winter,2023
2023-12-05,35.0,normal,weekday,Winter,2023
2023-12-06,54.0,normal,weekday,Winter,2023
2023-12-07,71.0,normal,weekday,Winter,2023
2023-12-08,96.0,bad,weekday,Winter,2023
2023-12-09,73.0,normal,weekend,Winter,2023
2023-12-10,78.0,normal,weekend,Winter,2023
2023-12-13,14.0,good,weekday,Winter,2023
2023-12-16,27.0,good,weekend,Winter,2023
2023-12-17,16.0,good,weekend,Winter,2023
2023-12-18,14.0,good,weekday,Winter,2023
2023-12-19,23.0,good,weekday,Winter,2023
2023-12-20,48.0,normal,weekday,Winter,2023
2023-12-21,23.0,good,weekday,Winter,2023
2023-12-22,25.0,good,weekday,Winter,2023
2023-12-23,31.0,normal,weekend,Winter,2023
2023-12-24,27.0,good,weekend,Winter,2023
2023-12-25,32.0,normal,weekend,Winter,2023
2023-12-26,46.0,normal,weekday,Winter,2023
2023-12-27,72.0,normal,weekday,Winter,2023
2023-12-28,46.0,normal,weekday,Winter,2023
2023-12-29,40.0,normal,weekday,Winter,2023
2023-12-30,31.0,normal,weekend,Winter,2023
2023-12-31,23.0,good,weekend,Winter,2023
2024-01-01,22.0,good,weekend,Winter,2024
2024-01-02,38.0,normal,weekday,Winter,2024
2024-01-03,40.0,normal,weekday,Winter,2024
2024-01-04,56.0,normal,weekday,Winter,2024
2024-01-05,77.0,normal,weekday,Winter,2024
2024-01-06,24.0,good,weekend,Winter,2024
2024-01-07,26.0,good,weekend,Winter,2024
2024-01-08,24.0,good,weekday,Winter,2024
2024-01-09,30.0,good,weekday,Winter,2024
2024-01-10,63.0,normal,weekday,Winter,2024
2024-01-11,56.0,normal,weekday,Winter,2024
2024-01-12,52.0,normal,weekday,Winter,2024
2024-01-13,28.0,good,weekend,Winter,2024
2024-01-14,31.0,normal,weekend,Winter,2024
2024-01-15,24.0,good,weekday,Winter,2024
2024-01-16,31.0,normal,weekday,Winter,2024
2024-01-17,27.0,good,weekday,Winter,2024
2024-01-18,21.0,good,weekday,Winter,2024
2024-01-19,16.0,good,weekday,Winter,2024
2024-01-21,18.0,good,weekend,Winter,2024
2024-01-22,33.0,normal,weekday,Winter,2024
2024-01-23,24.0,good,weekday,Winter,2024
2024-01-24,28.0,good,weekday,Winter,2024
2024-01-25,24.0,good,weekday,Winter,2024
2024-01-26,32.0,normal,weekday,Winter,2024
2024-01-27,42.0,normal,weekend,Winter,2024
2024-01-28,28.0,good,weekend,Winter,2024
2024-01-29,39.0,normal,weekday,Winter,2024
2024-01-30,52.0,normal,weekday,Winter,2024
2024-01-31,49.0,normal,weekday,Winter,2024
2024-02-01,83.0,bad,weekday,Winter,2024
2024-02-02,40.0,normal,weekday,Winter,2024
2024-02-03,27.0,good,weekend,Winter,2024
2024-02-04,22.0,good,weekend,Winter,2024
2024-02-06,16.0,good,weekday,Winter,2024
2024-02-07,34.0,normal,weekday,Winter,2024
2024-02-08,38.0,normal,weekday,Winter,2024
2024-02-09,33.0,normal,weekend,Winter,2024
2024-02-10,46.0,normal,weekend,Winter,2024
2024-02-11,69.0,normal,weekend,Winter,2024
2024-02-12,64.0,normal,weekend,Winter,2024
2024-02-13,73.0,normal,weekday,Winter,2024
2024-02-14,50.0,normal,weekday,Winter,2024
2024-02-15,18.0,good,weekday,Winter,2024
2024-02-16,29.0,good,weekday,Winter,2024
2024-02-17,36.0,normal,weekend,Winter,2024
2024-02-18,25.0,good,weekend,Winter,2024
2024-02-19,14.0,good,weekday,Winter,2024
2024-02-20,38.0,normal,weekday,Winter,2024
2024-02-23,11.0,good,weekday,Winter,2024
2024-02-24,14.0,good,weekend,Winter,2024
2024-02-25,16.0,good,weekend,Winter,2024
2024-02-26,32.0,normal,weekday,Winter,2024
2024-02-27,19.0,good,weekday,Winter,2024
2024-02-28,34.0,normal,weekday,Winter,2024
2024-02-29,52.0,normal,weekday,Winter,2024
2024-03-01,41.0,normal,weekend,Spring,2024
2024-03-02,43.0,normal,weekend,Spring,2024
2024-03-03,116.0,bad,weekend,Spring,2024
2024-03-04,67.0,normal,weekday,Spring,2024
2024-03-05,43.0,normal,weekday,Spring,2024
2024-03-06,14.0,good,weekday,Spring,2024
2024-03-07,29.0,good,weekday,Spring,2024
2024-03-08,43.0,normal,weekday,Spring,2024
2024-03-09,35.0,normal,weekend,Spring,2024
2024-03-10,30.0,good,weekend,Spring,2024
2024-03-11,29.0,good,weekday,Spring,2024
2024-03-12,27.0,good,weekday,Spring,2024
2024-03-13,46.0,normal,weekday,Spring,2024
2024-03-14,57.0,normal,weekday,Spring,2024
2024-03-15,39.0,normal,weekday,Spring,2024
2024-03-16,37.0,normal,weekend,Spring,2024
2024-03-17,104.0,bad,weekend,Spring,2024
2024-03-18,27.0,good,weekday,Spring,2024
2024-03-19,51.0,normal,weekday,Spring,2024
2024-03-20,39.0,normal,weekday,Spring,2024
2024-03-21,35.0,normal,weekday,Spring,2024
2024-03-22,44.0,normal,weekday,Spring,2024
2024-03-23,62.0,normal,weekend,Spring,2024
2024-03-24,40.0,normal,weekend,Spring,2024
2024-03-28,25.0,good,weekday,Spring,2024
2024-03-29,277.0,very_bad,weekday,Spring,2024
2024-03-30,104.0,bad,weekend,Spring,2024
2024-03-31,50.0,normal,weekend,Spring,2024
